step,time_s,serve,side,phase,base_x,base_y,base_z,roll_deg,pitch_deg,yaw_deg,angvel_x,angvel_y,angvel_z,qd_absmax,act_absmax,act_argmax_joint,qdes_absmax,nan,fallen,ball_x,ball_y,ball_z,q:left_hip_pitch_joint,q:right_hip_pitch_joint,q:waist_yaw_joint,q:left_hip_roll_joint,q:right_hip_roll_joint,q:waist_roll_joint,q:left_hip_yaw_joint,q:right_hip_yaw_joint,q:waist_pitch_joint,q:left_knee_joint,q:right_knee_joint,q:left_shoulder_pitch_joint,q:right_shoulder_pitch_joint,q:left_ankle_pitch_joint,q:right_ankle_pitch_joint,q:left_shoulder_roll_joint,q:right_shoulder_roll_joint,q:left_ankle_roll_joint,q:right_ankle_roll_joint,q:left_shoulder_yaw_joint,q:right_shoulder_yaw_joint,q:left_elbow_joint,q:right_elbow_joint,q:left_wrist_roll_joint,q:right_wrist_roll_joint,q:left_wrist_pitch_joint,q:right_wrist_pitch_joint,q:left_wrist_yaw_joint,q:right_wrist_yaw_joint,qd:left_hip_pitch_joint,qd:right_hip_pitch_joint,qd:waist_yaw_joint,qd:left_hip_roll_joint,qd:right_hip_roll_joint,qd:waist_roll_joint,qd:left_hip_yaw_joint,qd:right_hip_yaw_joint,qd:waist_pitch_joint,qd:left_knee_joint,qd:right_knee_joint,qd:left_shoulder_pitch_joint,qd:right_shoulder_pitch_joint,qd:left_ankle_pitch_joint,qd:right_ankle_pitch_joint,qd:left_shoulder_roll_joint,qd:right_shoulder_roll_joint,qd:left_ankle_roll_joint,qd:right_ankle_roll_joint,qd:left_shoulder_yaw_joint,qd:right_shoulder_yaw_joint,qd:left_elbow_joint,qd:right_elbow_joint,qd:left_wrist_roll_joint,qd:right_wrist_roll_joint,qd:left_wrist_pitch_joint,qd:right_wrist_pitch_joint,qd:left_wrist_yaw_joint,qd:right_wrist_yaw_joint,act:left_hip_pitch_joint,act:right_hip_pitch_joint,act:waist_yaw_joint,act:left_hip_roll_joint,act:right_hip_roll_joint,act:waist_roll_joint,act:left_hip_yaw_joint,act:right_hip_yaw_joint,act:waist_pitch_joint,act:left_knee_joint,act:right_knee_joint,act:left_shoulder_pitch_joint,act:right_shoulder_pitch_joint,act:left_ankle_pitch_joint,act:right_ankle_pitch_joint,act:left_shoulder_roll_joint,act:right_shoulder_roll_joint,act:left_ankle_roll_joint,act:right_ankle_roll_joint,act:left_shoulder_yaw_joint,act:right_shoulder_yaw_joint,act:left_elbow_joint,act:right_elbow_joint,act:left_wrist_roll_joint,act:right_wrist_roll_joint,act:left_wrist_pitch_joint,act:right_wrist_pitch_joint,act:left_wrist_yaw_joint,act:right_wrist_yaw_joint
0,0.0,1,FH,swing,-1.6,0.0,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,right_elbow_joint,1.128,0,0,0.511,-0.382,1.162,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.0,-0.15,-0.15,0.3,-0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,1.1652,1.0547,0.6584,-1.0407,0.8823,-1.2559,0.4658,-0.2549,0.441,0.5177,-0.1824,-0.3252,1.0954,-0.2436,-1.1755,0.1773,0.3595,0.1739,-0.0941,-1.9348,0.1598,2.5102,0.037,-2.3558,-0.0921,0.2728,0.0327,-0.5061
1,0.02,1,FH,swing,-1.6009,0.001,0.791,-0.06,-1.18,-0.42,-0.143,-1.38,-0.604,6.66,3.552,right_elbow_joint,1.388,0,0,0.473,-0.379,1.247,-0.1305,-0.1322,0.0221,-0.0061,-0.0101,0.0056,-0.037,-0.0096,0.0225,0.3184,0.3214,0.1793,-0.0184,-0.0964,-0.1662,0.285,-0.087,0.0188,0.0115,0.0032,-0.057,0.5112,0.553,0.0019,-0.099,-0.0028,-0.0099,0.0013,-0.0125,1.4562,1.2957,1.8219,-0.2176,-0.7384,0.5308,-2.2718,-0.473,1.3605,1.1101,1.3115,-1.4237,-1.3703,2.1273,-0.8209,-1.2718,0.8458,0.8973,0.6184,0.2263,-4.3313,0.7825,4.2306,0.1254,-6.6604,-0.1776,-0.4125,0.0987,-1.0848,0.3557,1.4168,1.6213,0.6891,-1.3055,0.9598,-1.7788,0.1348,-0.5155,0.3743,0.7253,-0.3526,-0.6466,1.4815,-0.2924,-1.7628,-0.1361,-0.0762,0.3616,-0.0495,-3.3827,0.1024,3.5519,0.0548,-3.1207,-0.1715,0.3413,0.364,-1.0864
2,0.04,1,FH,swing,-1.6011,0.0032,0.7863,0.1,-2.73,-1.29,0.197,-1.292,-0.747,8.158,3.82,right_elbow_joint,1.455,0,0,0.435,-0.376,1.326,-0.0995,-0.1063,0.0767,-0.018,-0.0446,0.015,-0.0871,-0.0351,0.0412,0.3358,0.3543,0.1423,-0.0545,-0.1261,-0.1831,0.244,-0.0665,0.003,0.0327,0.0102,-0.194,0.5307,0.6838,0.0052,-0.2605,-0.0082,-0.0158,0.018,-0.0583,1.5222,1.3669,3.1941,-0.724,-2.0936,0.5302,-2.2474,-1.1237,0.5616,0.8262,1.5686,-1.9576,-2.0156,-3.114,-0.7036,-2.5889,0.7805,-1.0458,1.0224,0.3952,-8.1582,0.978,7.7896,0.1632,-8.1192,-0.2931,0.1156,1.0579,-2.8971,0.5323,0.8769,1.7919,0.505,-1.3277,0.8558,-2.114,-0.3684,-0.6304,0.6382,0.6611,-0.5779,-0.8786,2.2755,-0.4366,-2.0126,-0.5113,-0.6088,0.5157,0.1285,-3.6694,0.0814,3.8196,0.1369,-2.939,-0.4052,0.4059,0.7365,-1.3516
3,0.06,1,FH,swing,-1.6004,0.006,0.7802,0.43,-3.71,-1.51,0.257,-0.739,0.203,9.069,3.815,right_elbow_joint,1.454,0,0,0.397,-0.373,1.401,-0.0847,-0.0822,0.1423,-0.0367,-0.0902,0.0245,-0.1335,-0.0616,0.0389,0.3622,0.3796,0.1024,-0.0934,-0.1925,-0.2265,0.1802,-0.0667,-0.0323,0.0653,0.022,-0.368,0.5503,0.8581,0.0116,-0.3966,-0.0235,-0.0012,0.0541,-0.1281,0.3258,1.2885,3.2288,-0.9641,-1.6637,0.4387,-1.818,-0.5244,-0.3525,1.5778,0.8733,-1.9997,-1.7362,-3.121,-4.3034,-3.5318,-0.6859,-1.369,1.9368,0.6473,-8.756,0.8961,9.0688,0.3524,-5.8006,-0.9125,1.2208,1.9651,-3.5805,0.7979,0.3636,1.9696,0.3113,-1.1205,0.795,-2.552,-0.7195,-0.8148,0.7069,0.6688,-0.7827,-1.2148,2.7902,-0.3749,-1.9458,-0.8673,-1.2177,0.6492,0.2058,-3.5768,0.1474,3.8148,0.2341,-2.6368,-0.6564,0.5613,1.017,-1.4964
4,0.08,1,FH,swing,-1.6001,0.0084,0.7758,0.57,-4.43,-0.4,0.032,-0.715,1.419,8.652,3.674,right_elbow_joint,1.418,0,0,0.36,-0.37,1.471,-0.0883,-0.0678,0.205,-0.0553,-0.1176,0.037,-0.1685,-0.0886,0.0297,0.4005,0.406,0.0611,-0.1161,-0.2348,-0.2668,0.1014,-0.1,-0.06,0.0942,0.0326,-0.5245,0.5743,1.0375,0.0221,-0.4794,-0.0512,0.0368,0.1018,-0.1973,-0.2509,0.6432,2.9766,-0.964,-1.119,0.7139,-1.7025,-1.5705,-0.3162,1.9536,1.5513,-1.9913,-0.5667,-1.1799,-1.363,-4.1417,-2.2439,-1.1789,1.0331,0.3966,-7.0391,1.231,8.6521,0.5534,-3.1699,-1.4687,2.2167,2.3669,-3.1206,1.0587,-0.0647,2.0188,0.0686,-1.0323,0.7654,-2.8167,-0.8047,-0.7788,0.5154,0.5101,-0.9641,-1.2737,2.6831,-0.4628,-1.8985,-0.906,-1.4169,0.7564,0.2594,-3.6195,0.2548,3.674,0.2184,-2.6177,-0.5843,0.7344,1.084,-1.4359
5,0.1,1,FH,swing,-1.5998,0.0102,0.7741,0.75,-5.26,1.87,0.232,-0.673,2.207,6.818,3.754,right_shoulder_yaw_joint,1.41,0,0,0.323,-0.368,1.537,-0.088,-0.0511,0.2618,-0.0796,-0.1429,0.0478,-0.2077,-0.1253,0.0218,0.4248,0.4323,0.0279,-0.1097,-0.242,-0.2876,0.0198,-0.1476,-0.0791,0.1112,0.0372,-0.6468,0.5978,1.1901,0.0314,-0.5282,-0.075,0.0886,0.146,-0.2453,0.1213,0.9322,2.7441,-1.3389,-1.3358,0.4292,-2.1109,-1.9708,-0.5251,0.7591,1.0869,-1.2726,0.9453,0.0785,-0.838,-3.9556,-2.357,-0.8649,0.6882,0.1068,-5.3577,1.0159,6.8182,0.3945,-1.9624,-1.0005,2.6238,1.995,-1.911,1.1723,-0.4808,2.0846,-0.1268,-1.0456,0.7597,-2.9446,-0.8104,-0.6814,0.3113,0.404,-1.1161,-1.2857,2.3883,-0.5398,-1.889,-0.8537,-1.4219,0.8125,0.2322,-3.7544,0.3982,3.6419,0.2529,-2.8401,-0.5095,0.9046,1.1289,-1.3312
6,0.12,1,FH,swing,-1.5989,0.0113,0.7737,1.18,-5.74,4.41,0.437,-0.26,2.25,4.947,3.938,right_shoulder_yaw_joint,1.415,0,0,0.286,-0.365,1.598,-0.084,-0.0355,0.3167,-0.1082,-0.1716,0.0516,-0.2496,-0.163,0.0056,0.4261,0.45,0.0115,-0.0804,-0.2329,-0.3019,-0.0525,-0.1878,-0.0943,0.1245,0.0364,-0.7424,0.618,1.3048,0.0394,-0.5693,-0.0891,0.1426,0.1821,-0.2709,0.2103,0.7044,2.6518,-1.4316,-1.4195,0.096,-2.0818,-1.8223,-0.9824,-0.2899,0.6937,-0.426,1.7224,0.6413,-0.5973,-3.3215,-1.7157,-0.7169,0.6026,-0.103,-4.2305,0.9448,4.9473,0.3747,-1.951,-0.5403,2.5678,1.6066,-0.9427,1.2194,-0.7945,2.1396,-0.2331,-1.1044,0.7499,-2.9499,-0.8067,-0.6181,0.1893,0.3707,-1.194,-1.2119,2.1565,-0.5286,-1.9253,-0.7838,-1.3471,0.8385,0.1661,-3.938,0.4952,3.6583,0.3219,-3.117,-0.4809,1.0535,1.136,-1.2371
7,0.14,1,FH,swing,-1.598,0.0117,0.774,1.77,-5.77,6.7,0.511,0.137,1.964,3.498,4.14,right_shoulder_yaw_joint,1.429,0,0,0.25,-0.362,1.655,-0.0809,-0.0276,0.3688,-0.1359,-0.1995,0.0506,-0.2879,-0.1944,-0.0184,0.4119,0.4627,0.0106,-0.0447,-0.2166,-0.3119,-0.1101,-0.2134,-0.1072,0.1358,0.0326,-0.8206,0.6375,1.3853,0.0487,-0.6152,-0.0967,0.1926,0.2099,-0.2817,0.1204,0.2659,2.4452,-1.2986,-1.3105,-0.0573,-1.8416,-1.4217,-1.2772,-0.8994,0.524,0.2364,1.7177,0.8959,-0.3974,-2.5436,-0.9836,-0.6069,0.4984,-0.2091,-3.4977,0.9567,3.3737,0.4714,-2.2824,-0.2813,2.3059,1.2112,-0.3573,1.241,-0.966,2.178,-0.2629,-1.1807,0.7347,-2.878,-0.8054,-0.5951,0.1411,0.3831,-1.2216,-1.0308,2.005,-0.4714,-1.9902,-0.7491,-1.2558,0.86,0.1011,-4.1397,0.534,3.7154,0.3982,-3.3923,-0.4669,1.1766,1.1191,-1.1582
8,0.16,1,FH,swing,-1.5977,0.0118,0.7744,2.39,-5.49,8.6,0.482,0.355,1.593,2.999,4.352,right_shoulder_yaw_joint,1.454,0,0,0.214,-0.359,1.707,-0.08,-0.0276,0.4154,-0.1594,-0.2239,0.0495,-0.3208,-0.2174,-0.0454,0.3903,0.4732,0.02,-0.0144,-0.1975,-0.3185,-0.153,-0.2268,-0.1185,0.1449,0.0277,-0.8868,0.6567,1.4388,0.0603,-0.6678,-0.1003,0.2356,0.2297,-0.2838,0.0061,-0.099,2.1454,-1.0677,-1.107,0.02,-1.5454,-0.9887,-1.343,-1.131,0.462,0.6334,1.2774,0.9733,-0.2681,-1.8368,-0.4729,-0.5296,0.39,-0.2406,-2.9989,0.9357,2.1715,0.5799,-2.5941,-0.1164,1.9407,0.838,-0.0153,1.2426,-1.0168,2.2024,-0.2486,-1.2655,0.7153,-2.7805,-0.8105,-0.5889,0.146,0.4239,-1.2218,-0.7813,1.9085,-0.3965,-2.0647,-0.7552,-1.1689,0.8807,0.0544,-4.3523,0.5238,3.8155,0.4752,-3.6627,-0.4492,1.2769,1.1034,-1.0864
9,0.18,1,FH,swing,-1.5983,0.0114,0.7748,2.97,-5.12,10.1,0.417,0.397,1.263,2.824,4.566,right_shoulder_yaw_joint,1.489,0,0,0.178,-0.357,1.755,-0.0812,-0.0329,0.4553,-0.1783,-0.244,0.0521,-0.3479,-0.2326,-0.0717,0.3679,0.4829,0.0349,0.0051,-0.1784,-0.3236,-0.1835,-0.2333,-0.1286,0.1522,0.0228,-0.9453,0.6742,1.4728,0.0738,-0.7256,-0.1007,0.2706,0.243,-0.2806,-0.0908,-0.3068,1.8146,-0.8454,-0.895,0.2683,-1.2546,-0.6227,-1.2468,-1.0808,0.4475,0.8063,0.7067,0.9345,-0.2424,-1.294,-0.2367,-0.4718,0.3038,-0.2268,-2.6833,0.8309,1.3543,0.6683,-2.8243,0.0213,1.5369,0.555,0.2075,1.2244,-0.9947,2.2255,-0.2202,-1.3454,0.6894,-2.7024,-0.831,-0.5867,0.187,0.4811,-1.2041,-0.5262,1.8469,-0.3135,-2.1281,-0.7794,-1.0948,0.898,0.0309,-4.5662,0.4809,3.9559,0.5513,-3.9255,-0.4246,1.3707,1.1028,-1.0206
