step,time_s,serve,side,phase,base_x,base_y,base_z,roll_deg,pitch_deg,yaw_deg,angvel_x,angvel_y,angvel_z,qd_absmax,act_absmax,act_argmax_joint,qdes_absmax,nan,fallen,ball_x,ball_y,ball_z,q:left_hip_pitch_joint,q:right_hip_pitch_joint,q:waist_yaw_joint,q:left_hip_roll_joint,q:right_hip_roll_joint,q:waist_roll_joint,q:left_hip_yaw_joint,q:right_hip_yaw_joint,q:waist_pitch_joint,q:left_knee_joint,q:right_knee_joint,q:left_shoulder_pitch_joint,q:right_shoulder_pitch_joint,q:left_ankle_pitch_joint,q:right_ankle_pitch_joint,q:left_shoulder_roll_joint,q:right_shoulder_roll_joint,q:left_ankle_roll_joint,q:right_ankle_roll_joint,q:left_shoulder_yaw_joint,q:right_shoulder_yaw_joint,q:left_elbow_joint,q:right_elbow_joint,q:left_wrist_roll_joint,q:right_wrist_roll_joint,q:left_wrist_pitch_joint,q:right_wrist_pitch_joint,q:left_wrist_yaw_joint,q:right_wrist_yaw_joint,qd:left_hip_pitch_joint,qd:right_hip_pitch_joint,qd:waist_yaw_joint,qd:left_hip_roll_joint,qd:right_hip_roll_joint,qd:waist_roll_joint,qd:left_hip_yaw_joint,qd:right_hip_yaw_joint,qd:waist_pitch_joint,qd:left_knee_joint,qd:right_knee_joint,qd:left_shoulder_pitch_joint,qd:right_shoulder_pitch_joint,qd:left_ankle_pitch_joint,qd:right_ankle_pitch_joint,qd:left_shoulder_roll_joint,qd:right_shoulder_roll_joint,qd:left_ankle_roll_joint,qd:right_ankle_roll_joint,qd:left_shoulder_yaw_joint,qd:right_shoulder_yaw_joint,qd:left_elbow_joint,qd:right_elbow_joint,qd:left_wrist_roll_joint,qd:right_wrist_roll_joint,qd:left_wrist_pitch_joint,qd:right_wrist_pitch_joint,qd:left_wrist_yaw_joint,qd:right_wrist_yaw_joint,act:left_hip_pitch_joint,act:right_hip_pitch_joint,act:waist_yaw_joint,act:left_hip_roll_joint,act:right_hip_roll_joint,act:waist_roll_joint,act:left_hip_yaw_joint,act:right_hip_yaw_joint,act:waist_pitch_joint,act:left_knee_joint,act:right_knee_joint,act:left_shoulder_pitch_joint,act:right_shoulder_pitch_joint,act:left_ankle_pitch_joint,act:right_ankle_pitch_joint,act:left_shoulder_roll_joint,act:right_shoulder_roll_joint,act:left_ankle_roll_joint,act:right_ankle_roll_joint,act:left_shoulder_yaw_joint,act:right_shoulder_yaw_joint,act:left_elbow_joint,act:right_elbow_joint,act:left_wrist_roll_joint,act:right_wrist_roll_joint,act:left_wrist_pitch_joint,act:right_wrist_pitch_joint,act:left_wrist_yaw_joint,act:right_wrist_yaw_joint
0,0.0,1,FH,swing,-1.6,0.0,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.507,right_hip_yaw_joint,0.924,0,0,0.511,-0.382,1.162,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.0,-0.15,-0.15,0.3,-0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4957,0.5422,-0.1643,-0.0006,0.4761,1.1876,-0.073,2.5075,0.1919,0.3739,0.5598,0.2295,1.1634,0.1158,1.4154,-0.1487,-0.1391,0.2727,0.3074,0.28,0.2217,-0.4258,1.6964,0.8591,0.3598,-1.7593,1.0482,-0.0486,1.8297
1,0.02,1,FH,swing,-1.6007,0.0003,0.7909,-0.24,-0.87,-0.45,-0.262,-1.025,-0.364,6.47,3.812,right_hip_yaw_joint,0.981,0,0,0.473,-0.379,1.247,-0.1352,-0.1406,-0.0006,0.0036,0.0434,0.0066,-0.0055,0.1265,0.0187,0.3167,0.3252,0.208,-0.0156,-0.1465,-0.0841,0.2941,-0.1056,0.0155,0.0171,0.0122,-0.0021,0.497,0.5217,0.0365,0.0151,-0.0679,0.0268,-0.0022,0.0661,1.055,0.8851,-0.1688,0.1418,2.0837,0.5525,-0.4132,6.4701,1.1781,1.0537,1.2895,0.6323,-0.9931,0.3201,1.9528,-0.5299,-0.5598,0.8572,0.6538,0.8001,-0.0392,-0.287,1.8182,2.4351,1.0314,-4.8394,1.9596,-0.1343,4.9021,0.4787,0.7894,-0.2171,0.0616,0.6814,1.3688,0.1251,3.8122,-0.1044,0.4621,0.5488,0.0081,1.1308,-0.0257,1.7506,-0.0196,-0.4352,0.266,0.2025,-0.2152,0.8904,-0.4917,1.9232,1.2996,0.0528,-2.8031,1.1892,0.0805,2.2326
2,0.04,1,FH,swing,-1.6007,0.0026,0.7861,-1.03,-1.97,-1.52,-0.873,-0.865,-1.065,7.809,4.396,right_hip_yaw_joint,1.099,0,0,0.435,-0.376,1.326,-0.1123,-0.1213,0.0043,0.019,0.0959,0.0321,-0.0013,0.286,0.0363,0.3384,0.3471,0.2246,-0.0356,-0.1662,-0.1158,0.2816,-0.1324,0.0279,0.0286,0.0126,0.0198,0.4964,0.5757,0.1014,0.0233,-0.2055,0.0732,0.0027,0.1785,1.0652,1.0571,0.3082,0.9831,2.6027,1.5985,0.3323,7.8093,0.6309,0.9772,0.8203,0.8764,-0.8794,-2.8406,-2.8212,-0.6604,-1.6815,0.1523,0.9403,-0.442,1.7639,-0.0341,3.2638,3.3617,0.1233,-7.2467,2.4247,0.3392,5.6544,0.3158,1.0199,-0.0812,0.0682,0.8807,1.4294,0.4351,4.3962,-0.3382,0.6507,1.1443,-0.1616,0.8725,0.1034,2.0298,0.1048,-0.3444,0.3331,0.2013,-0.2435,0.9879,-0.4658,2.2122,1.3488,-0.0961,-3.3464,1.3549,0.1212,2.2063
3,0.06,1,FH,swing,-1.6007,0.0054,0.781,-1.4,-2.84,-3.1,0.08,-0.826,-1.354,9.261,4.736,right_hip_yaw_joint,1.184,0,0,0.397,-0.373,1.401,-0.1022,-0.1091,0.019,0.0316,0.1442,0.054,0.0201,0.4661,0.0463,0.3733,0.3814,0.2368,-0.0534,-0.2282,-0.1717,0.2727,-0.1615,0.0265,0.0389,-0.0026,0.0625,0.4991,0.6568,0.1639,0.0176,-0.3588,0.125,0.0104,0.279,0.1767,0.7602,0.7967,0.0756,1.8449,0.5542,1.2985,9.2613,0.6125,2.3444,1.782,0.3308,-0.7765,-2.3811,-2.3391,-0.2977,-1.1473,0.0678,0.4119,-0.9291,2.26,0.1773,4.5175,2.8368,-0.4497,-7.3057,2.6354,0.3512,4.4485,0.2069,1.0728,-0.0351,0.1808,1.0418,1.374,0.5209,4.7362,-0.5255,0.7214,1.1088,-0.317,0.6318,-0.0103,2.0765,0.1136,-0.3195,0.3279,0.2672,-0.4855,1.2783,-0.4393,2.3126,1.218,-0.3292,-3.6537,1.2932,0.1616,2.2423
4,0.08,1,FH,swing,-1.6009,0.008,0.7771,-1.08,-3.74,-4.7,0.216,-0.801,-1.369,8.22,5.034,right_hip_yaw_joint,1.258,0,0,0.36,-0.37,1.471,-0.1022,-0.0915,0.0379,0.0324,0.1791,0.0665,0.0485,0.649,0.0546,0.4242,0.4144,0.2392,-0.0629,-0.2668,-0.207,0.2674,-0.1817,0.0278,0.0568,-0.03,0.115,0.5053,0.7531,0.207,-0.0016,-0.4987,0.173,0.0181,0.3553,0.0256,0.966,0.9729,0.0615,1.5791,0.776,1.4099,8.2201,0.2915,2.4633,1.5507,-0.0064,-0.1748,-1.6414,-1.491,-0.3201,-0.8743,0.0673,1.3366,-1.5913,2.7309,0.2987,4.8551,1.7613,-1.143,-6.4101,2.263,0.3482,3.3331,0.1544,1.0265,0.0108,0.2592,1.0756,1.2894,0.5535,5.0335,-0.6381,0.6379,0.9596,-0.5343,0.3752,-0.2173,1.9922,0.1539,-0.3137,0.4197,0.3108,-0.696,1.6051,-0.3863,2.3485,1.1744,-0.45,-3.7448,1.257,0.2327,2.2325
5,0.1,1,FH,swing,-1.6,0.0111,0.7741,-0.86,-4.47,-6.31,0.083,-0.562,-1.354,6.788,5.271,right_hip_yaw_joint,1.318,0,0,0.323,-0.368,1.537,-0.1004,-0.0703,0.0582,0.0353,0.2081,0.0871,0.077,0.8005,0.053,0.4658,0.4386,0.237,-0.0586,-0.2951,-0.2324,0.2602,-0.1978,0.031,0.0831,-0.0693,0.1775,0.513,0.8488,0.2342,-0.0287,-0.6128,0.2132,0.0272,0.4103,0.1253,1.0704,0.9419,0.1838,1.2934,1.2249,1.3546,6.788,-0.3284,1.8013,1.0053,-0.165,0.5383,-1.2553,-1.1113,-0.4241,-0.687,0.1916,1.2064,-2.1023,3.2084,0.3617,4.6093,1.1319,-1.384,-5.0483,1.8575,0.4446,2.361,0.1365,0.9678,0.0581,0.28,1.0589,1.2128,0.5782,5.2706,-0.6666,0.5791,0.8481,-0.724,0.1874,-0.2978,1.9308,0.2679,-0.3202,0.5383,0.3631,-0.8186,1.9154,-0.3309,2.3465,1.1781,-0.5068,-3.7449,1.2797,0.2895,2.1823
6,0.12,1,FH,swing,-1.5982,0.0147,0.7718,-0.73,-4.91,-7.84,0.055,-0.319,-1.289,5.601,5.453,right_hip_yaw_joint,1.363,0,0,0.286,-0.365,1.598,-0.0969,-0.0488,0.0759,0.0387,0.2291,0.1145,0.104,0.9252,0.0405,0.494,0.4522,0.2317,-0.0415,-0.3168,-0.2523,0.2518,-0.2101,0.0378,0.1059,-0.1148,0.2483,0.521,0.9345,0.2533,-0.0561,-0.6987,0.2476,0.0374,0.4474,0.183,1.0216,0.76,0.1536,0.8592,1.4896,1.2903,5.6012,-0.8,1.1801,0.517,-0.3277,1.0994,-0.9746,-0.8962,-0.44,-0.5124,0.3706,1.0041,-2.278,3.5431,0.3677,3.9743,0.8415,-1.31,-3.7155,1.6078,0.4892,1.5489,0.1388,0.9043,0.1001,0.2932,1.0439,1.1367,0.5811,5.4527,-0.6399,0.5691,0.7487,-0.8493,0.0666,-0.2733,1.8988,0.4118,-0.3366,0.6416,0.4117,-0.9041,2.2271,-0.2816,2.326,1.1903,-0.5457,-3.7107,1.3057,0.3478,2.1097
7,0.14,1,FH,swing,-1.5962,0.0187,0.7698,-0.56,-5.06,-9.49,0.136,-0.068,-1.498,4.901,5.582,right_hip_yaw_joint,1.396,0,0,0.25,-0.362,1.655,-0.0942,-0.03,0.0865,0.0409,0.2413,0.145,0.1329,1.0348,0.0199,0.5126,0.4564,0.2265,-0.0216,-0.3341,-0.27,0.2441,-0.2265,0.0481,0.1234,-0.1591,0.3147,0.5276,0.9776,0.2677,-0.0901,-0.7601,0.2416,0.0489,0.4347,0.0978,0.7814,0.303,0.1251,0.4608,1.6095,1.5207,4.9006,-1.1395,0.7895,0.1163,-0.2362,0.6978,-0.7956,-0.8055,-0.3613,-1.036,0.5085,0.688,-2.0983,3.0178,0.3111,1.1565,0.6396,-1.7825,-2.6109,-0.8159,0.5525,-1.4245,0.1986,0.7755,0.21,0.4237,0.9939,1.0011,0.4539,5.5823,-0.6018,0.5991,0.6609,-0.9005,-0.0732,-0.277,1.8791,0.6001,-0.4557,0.7612,0.398,-1.0046,2.5638,-0.2138,2.3574,1.2302,-0.6745,-3.6593,1.21,0.4599,1.9879
8,0.16,1,FH,swing,-1.5945,0.023,0.7682,-0.4,-5.0,-11.47,0.17,0.058,-1.831,3.376,5.653,right_hip_yaw_joint,1.413,0,0,0.214,-0.359,1.707,-0.0922,-0.0201,0.0914,0.0447,0.2476,0.1785,0.1669,1.1136,-0.0045,0.5252,0.4568,0.2198,-0.0197,-0.3488,-0.282,0.2404,-0.2521,0.0605,0.139,-0.2015,0.3758,0.5345,0.9922,0.2804,-0.1171,-0.8016,0.2357,0.0636,0.423,0.1094,0.3247,0.1551,0.2028,0.2167,1.67,1.786,3.3763,-1.252,0.5056,-0.0294,-0.4116,-0.4111,-0.6732,-0.4927,-0.0472,-1.355,0.6096,0.6778,-2.033,2.8598,0.3285,0.5051,0.6035,-0.8919,-1.7251,0.1989,0.7394,0.3282,0.1912,0.7945,0.1824,0.4605,0.9601,0.992,0.4405,5.6525,-0.5672,0.5584,0.6094,-0.9123,-0.0582,-0.2095,1.949,0.9248,-0.6394,0.81,0.3868,-1.176,3.0224,-0.2806,2.3805,1.3407,-0.8329,-3.7152,1.2661,0.6095,1.8547
9,0.18,1,FH,swing,-1.5933,0.0273,0.7671,-0.28,-4.94,-13.53,0.062,0.015,-1.714,3.925,5.716,right_hip_yaw_joint,1.429,0,0,0.178,-0.357,1.755,-0.0886,-0.0139,0.0914,0.0492,0.2502,0.2135,0.201,1.1715,-0.028,0.5328,0.4529,0.208,-0.0353,-0.3606,-0.2884,0.2461,-0.2801,0.0724,0.1491,-0.2458,0.4483,0.5392,1.0049,0.2956,-0.1364,-0.8317,0.2457,0.0836,0.4294,0.2116,0.2789,-0.1031,0.2466,0.1132,1.8454,1.5714,2.4692,-1.1205,0.3163,-0.2546,-0.7686,-0.8875,-0.5326,-0.1748,0.491,-1.3133,0.553,0.3543,-2.242,3.925,0.1671,0.8989,0.8089,-1.03,-1.3243,0.6985,0.9915,0.294,0.1905,0.7987,0.1251,0.4578,0.921,0.9566,0.4494,5.7157,-0.5327,0.565,0.5864,-0.892,-0.0322,-0.1573,2.0239,1.1691,-0.8108,0.8219,0.3842,-1.2898,3.3885,-0.3811,2.4537,1.4404,-0.9346,-3.792,1.3787,0.7137,1.7813
